,question_number,statement,mapped_topics
0,136,"A esperança de vida ao nascer é o número médio de anos que um indivíduo tende a viver a partir de seu nascimento, considerando dados da população. No Brasil, esse número vem aumentando consideravelmente, como mostra o gráfico.
[[placeholder]]
Pode-se observar que a esperança de vida ao nascer em 2012 foi exatamente a média das registradas nos anos de 2011 e 2013. Suponha que esse fato também ocorreu com a esperança de vida ao nascer em 2013, em relação às esperanças de vida de 2012 e de 2014.
Caso a suposição feita tenha sido confirmada, a esperança de vida ao nascer no Brasil no ano de 2014 terá sido, em ano, igual a",Conhecimentos de estatística e probabilidade
1,137,"Um minuto-luz é uma unidade de medida de distância que corresponde à distância percorrida pela luz durante 1 minuto. Uma outra unidade de medida é o parsec, descrita a seguir. Considere que a órbita da Terra seja circular e que o tempo que a luz do Sol demora para chegar à Terra seja de 8 minutos. Suponha que a Terra (T), o Sol (S) e uma estrela (E) formem um triângulo retângulo como na figura seguinte. Se o ângulo T, E, S medir 1 segundo (isto é, 1 grau dividido por 3 600) dizemos que a distância da estrela E ao sol S é de 1 parsec.
[[placeholder]]
Use 5 vezes, abre parêntese, 10 elevado a menos 6, fecha parêntese, como valor aproximado para tangente de, abre parêntese, 1 grau dividido por 3 600, fecha parêntese.
Quantos minutos-luz tem 10 parsec aproximadamente?","Conhecimentos geométricos,Conhecimentos algébricos"
2,138,"Ao escutar a notícia de que um filme recém-lançado arrecadou, no primeiro mês de lançamento, 1,35 bilhão de reais em bilheteria, um estudante escreveu corretamente o número que representa essa quantia, com todos os seus algarismos.
O número escrito pelo estudante foi",",...

Conhecimentos numéricos,Conhecimentos algébricos"
3,139,"O governo de um estado pretende realizar uma obra de infraestrutura para auxiliar na integração e no processo de escoamento da produção agrícola de duas cidades. O projeto consiste na interligação direta das cidades A e B com a Rodovia 003, pela construção das Rodovias 001 e 002. As duas rodovias serão construídas em linha reta e deverão se conectar à Rodovia 003 em um mesmo ponto, conforme esboço apresentado na figura, na qual estão também indicadas as posições das cidades A e B, considerando o eixo x posicionado sobre a Rodovia 003, e cinco localizações sugeridas para o ponto de conexão entre as três rodovias.

[[placeholder]]
Pretende-se que a distância percorrida entre as duas cidades, pelas Rodovias 001 e 002, passando pelo ponto de conexão, seja a menor possível.
Dadas as exigências do projeto, qual das localizações sugeridas deve ser a escolhida para o ponto de conexão?","Conhecimentos geométricos,Conhecimentos numéricos"
4,140,"Uma pessoa precisa contratar um operário para fazer um serviço em sua casa. Para isso, ela postou um anúncio em uma rede social.
Cinco pessoas responderam informando preços por hora trabalhada, gasto diário com transporte e tempo necessário para conclusão do serviço, conforme valores apresentados no quadro.

| Operário    |   Preço por hora (real)  | Preço do transporte (real)    |   Tempo até conclusão (hora)  |
|:------------|-------------------------:|:------------------------------|------------------------------:|
| I           |                     120  | 0,00                          |                            8  |
| II          |                     180  | 0,00                          |                            6  |
| III         |                     170  | 20,00                         |                            6  |
| IV          |                     110  | 10,00                         |                            9  |
| V           |                     110  | 0,00                          |                           10  |

Se a pessoa pretende gastar o mínimo possível com essa contratação, irá contratar o operário","Conhecimentos numéricos,Conhecimentos de estatística e probabilidade"
5,141,"Uma cozinheira produz docinhos especiais por encomenda. Usando uma receita-base de massa, ela prepara uma porção, com a qual produz 50 docinhos maciços de formato esférico, com 2 centímetros de diâmetro. Um cliente encomenda 150 desses docinhos, mas pede que cada um tenha formato esférico com 4 centímetros de diâmetro. A cozinheira pretende preparar o número exato de porções da receita-base de massa necessário para produzir os docinhos dessa encomenda.
Quantas porções da receita-base de massa ela deve preparar para atender esse cliente?","Conhecimentos geométricos,Conhecimentos algébricos,Conhecimentos numéricos"
6,142,"Nos cinco jogos finais da última temporada, com uma média de 18 pontos por jogo, um jogador foi eleito o melhor do campeonato de basquete. Na atual temporada, cinco jogadores têm a chance de igualar ou melhorar essa média. No quadro estão registradas as pontuações desses cinco jogadores nos quatro primeiros jogos das finais deste ano.

| Jogadores    |   Jogo 1  |   Jogo 2  |   Jogo 3  |   Jogo 4  |
|:-------------|----------:|----------:|----------:|----------:|
| I            |       12  |       25  |       20  |       20  |
| II           |       12  |       12  |       27  |       20  |
| III          |       14  |       14  |       17  |       26  |
| IV           |       15  |       18  |       21  |       21  |
| V            |       22  |       15  |       23  |       15  |

O quinto e último jogo será realizado para decidir a equipe campeã e qual o melhor jogador da temporada. O jogador que precisa fazer a menor quantidade de pontos no quinto jogo, para igualar a média de pontos do melhor jogador da temporada passada, é o","Conhecimentos algébricos,Conhecimentos estatísticos e probabilidade"
7,143,"Um casal planeja construir em sua chácara uma piscina com o formato de um paralelepípedo reto retângulo com capacidade para 90 000 litros de água. O casal contratou uma empresa de construções que apresentou cinco projetos com diferentes combinações nas dimensões internas de profundidade, largura e comprimento. A piscina a ser construída terá revestimento interno em suas paredes e fundo com uma mesma cerâmica, e o casal irá escolher o projeto que exija a menor área de revestimento.
As dimensões internas de profundidade, largura e comprimento, respectivamente, para cada um dos projetos, são:
• projeto 1: 1,8 metro, 2,0 metros e 25,0 metros;
• projeto 2: 2,0 metros, 5,0 metros e 9,0 metros;
• projeto 3: 1,0 metro, 6,0 metros e 15,0 metros;
• projeto 4: 1,5 metro, 15,0 metros e 4,0 metros;
• projeto 5: 2,5 metros, 3,0 metros e 12,0 metros.
O projeto que o casal deverá escolher será o",Conhecimentos geométricos
8,144,"Uma instituição de ensino superior ofereceu vagas em um processo seletivo de acesso a seus cursos. Finalizadas as inscrições, foi divulgada a relação do número de candidatos por vaga em cada um dos cursos oferecidos. Esses dados são apresentados no quadro.

| Curso               |   Número de vagas oferecidas  |   Número de candidatos por vaga  |
|:--------------------|------------------------------:|---------------------------------:|
| Administração       |                           30  |                               6  |
| Ciências Contábeis  |                           40  |                               6  |
| Engenharia Elétrica |                           50  |                               7  |
| História            |                           30  |                               8  |
| Letras              |                           25  |                               4  |
| Pedagogia           |                           25  |                               5  |

Qual foi o número total de candidatos inscritos nesse processo seletivo?

|:-----|:-------|
| A    | 200    |
| B    | 400    |
| C    | 1 200  |
| D    | 1 235  |
| E    | 7 200  |","Conhecimentos numéricos,Conhecimentos de estatística e probabilidade"
9,145,"Peças metálicas de aeronaves abandonadas em aeroportos serão recicladas. Uma dessas peças é maciça e tem o formato cilíndrico, com a medida do raio da base igual a 4 centímetros e a da altura igual a 50 centímetros. Ela será derretida, e o volume de metal resultante será utilizado para a fabricação de esferas maciças com diâmetro de 1 centímetro, a serem usadas para confeccionar rolamentos. Para estimar a quantidade de esferas que poderão ser produzidas a partir de cada uma das peças cilíndricas, admite-se que não ocorre perda de material durante o processo de derretimento.
Quantas dessas esferas poderão ser obtidas a partir de cada peça cilíndrica?","Conhecimentos geométricos,Conhecimentos algébricos"
